character;glyph_id;x_offset;y_offset;x_advance;y_advance;cursor_x;cursor_y
L;174;0.000000;0.000000;18.343750;0.000000;0.000000;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;18.343750;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;39.515625;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;53.968750;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;73.703125;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;106.421875;0.000000
I;148;0.000000;0.000000;11.859375;0.000000;115.515625;0.000000
p;1298;0.000000;0.000000;21.531250;0.000000;127.375000;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;148.906250;0.000000
u;1842;0.000000;0.000000;21.625000;0.000000;165.671875;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;187.296875;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;220.015625;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;229.109375;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;238.140625;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;254.906250;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;264.000000;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;280.765625;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;289.796875;0.000000
p;1298;0.000000;0.000000;21.531250;0.000000;322.515625;0.000000
l;878;0.000000;0.000000;9.031250;0.000000;344.046875;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;353.078125;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;370.921875;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;380.015625;0.000000
u;1842;0.000000;0.000000;21.625000;0.000000;401.546875;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;423.171875;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;455.890625;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;488.609375;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;506.453125;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;515.546875;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;528.187500;0.000000
x;2606;0.000000;0.000000;18.515625;0.000000;547.921875;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;566.437500;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;579.078125;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;588.171875;0.000000
f;684;0.000000;0.000000;12.046875;0.000000;609.343750;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;621.390625;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;630.484375;0.000000
h;764;0.000000;0.000000;21.625000;0.000000;643.125000;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;664.750000;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;684.484375;0.000000
p;1298;0.000000;0.000000;21.531250;0.000000;693.578125;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;715.109375;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;729.562500;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;738.593750;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;760.218750;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;772.859375;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;781.890625;0.000000
g;711;0.000000;0.000000;21.531250;0.000000;803.515625;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;825.046875;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;834.140625;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;853.781250;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;875.406250;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;896.937500;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;906.031250;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;918.671875;0.000000
p;1298;0.000000;0.000000;21.531250;0.000000;936.515625;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;958.046875;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;977.781250;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;994.546875;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;1014.281250;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;1026.921875;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;1039.562500;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;1048.593750;0.000000
g;711;0.000000;0.000000;21.531250;0.000000;1070.218750;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;1091.750000;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;1100.843750;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;1109.875000;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;1131.500000;0.000000
u;1842;0.000000;0.000000;21.625000;0.000000;1153.031250;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;1174.656250;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;1191.421875;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;1204.062500;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;1218.515625;0.000000
.;1322;0.000000;0.000000;9.375000;0.000000;1236.359375;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;1245.734375;0.000000
L;174;0.000000;0.000000;18.343750;0.000000;1254.828125;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;1273.171875;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;1294.343750;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;1308.796875;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;1328.531250;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;1361.250000;0.000000
I;148;0.000000;0.000000;11.859375;0.000000;1370.343750;0.000000
p;1298;0.000000;0.000000;21.531250;0.000000;1382.203125;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;1403.734375;0.000000
u;1842;0.000000;0.000000;21.625000;0.000000;1420.500000;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;1442.125000;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;1474.843750;0.000000
h;764;0.000000;0.000000;21.625000;0.000000;1483.937500;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;1505.562500;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;1525.203125;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;1541.968750;0.000000
b;372;0.000000;0.000000;21.531250;0.000000;1551.062500;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;1572.593750;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;1592.328125;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;1612.062500;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;1633.687500;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;1642.781250;0.000000
h;764;0.000000;0.000000;21.625000;0.000000;1655.421875;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;1677.046875;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;1696.781250;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;1705.875000;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;1714.906250;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;1736.531250;0.000000
u;1842;0.000000;0.000000;21.625000;0.000000;1758.062500;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;1779.687500;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;1796.453125;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;1809.093750;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;1823.546875;0.000000
';1392;0.000000;0.000000;7.875000;0.000000;1841.390625;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;1849.265625;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;1866.031250;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;1875.125000;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;1891.890625;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;1904.531250;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;1924.171875;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;1945.796875;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;1967.328125;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;1986.968750;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;2001.421875;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2022.953125;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;2032.046875;0.000000
u;1842;0.000000;0.000000;21.625000;0.000000;2053.578125;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;2075.203125;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;2107.921875;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;2140.640625;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2158.484375;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;2167.578125;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;2180.218750;0.000000
x;2606;0.000000;0.000000;18.515625;0.000000;2199.953125;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;2218.468750;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2231.109375;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;2240.203125;0.000000
v;2556;0.000000;0.000000;17.781250;0.000000;2259.937500;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;2277.718750;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;2297.453125;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2311.906250;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;2321.000000;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;2337.765625;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;2346.796875;0.000000
c;415;0.000000;0.000000;16.796875;0.000000;2368.421875;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;2385.218750;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2404.953125;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;2414.046875;0.000000
h;764;0.000000;0.000000;21.625000;0.000000;2426.687500;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;2448.312500;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2468.046875;0.000000
1;1287;0.000000;0.000000;20.015625;0.000000;2477.140625;0.000000
5;699;0.000000;0.000000;20.015625;0.000000;2497.156250;0.000000
0;2645;0.000000;0.000000;20.015625;0.000000;2517.171875;0.000000
0;2645;0.000000;0.000000;20.015625;0.000000;2537.187500;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;2557.203125;0.000000
,;452;0.000000;0.000000;9.375000;0.000000;2573.968750;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2583.343750;0.000000
w;2579;0.000000;0.000000;27.515625;0.000000;2592.437500;0.000000
h;764;0.000000;0.000000;21.625000;0.000000;2619.953125;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;2641.578125;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;2661.312500;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2682.937500;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;2692.031250;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;2711.671875;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2733.296875;0.000000
u;1842;0.000000;0.000000;21.625000;0.000000;2742.390625;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;2764.015625;0.000000
k;866;0.000000;0.000000;18.687500;0.000000;2785.640625;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;2804.328125;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;2825.953125;0.000000
w;2579;0.000000;0.000000;27.515625;0.000000;2847.125000;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;2874.640625;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;2896.265625;0.000000
p;1298;0.000000;0.000000;21.531250;0.000000;2905.359375;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;2926.890625;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;2941.343750;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;2950.375000;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;2972.000000;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;2984.640625;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;3004.375000;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3018.828125;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;3027.921875;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;3040.562500;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;3061.734375;0.000000
k;866;0.000000;0.000000;18.687500;0.000000;3082.906250;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3101.593750;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;3110.687500;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3130.328125;0.000000
g;711;0.000000;0.000000;21.531250;0.000000;3139.421875;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;3160.953125;0.000000
l;878;0.000000;0.000000;9.031250;0.000000;3180.593750;0.000000
l;878;0.000000;0.000000;9.031250;0.000000;3189.625000;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;3198.656250;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;3218.390625;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3236.234375;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;3245.328125;0.000000
f;684;0.000000;0.000000;12.046875;0.000000;3266.500000;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3278.546875;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;3287.640625;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;3300.281250;0.000000
p;1298;0.000000;0.000000;21.531250;0.000000;3318.125000;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;3339.656250;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3359.390625;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;3368.484375;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;3388.125000;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;3409.750000;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3431.281250;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;3440.375000;0.000000
c;415;0.000000;0.000000;16.796875;0.000000;3457.140625;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;3473.937500;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;3488.390625;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;3508.031250;0.000000
b;372;0.000000;0.000000;21.531250;0.000000;3540.750000;0.000000
l;878;0.000000;0.000000;9.031250;0.000000;3562.281250;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;3571.312500;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;3591.046875;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3612.578125;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;3621.671875;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;3630.703125;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3643.343750;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;3652.437500;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;3665.078125;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3686.250000;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;3695.343750;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;3728.062500;0.000000
k;866;0.000000;0.000000;18.687500;0.000000;3747.703125;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;3766.390625;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3786.125000;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;3795.218750;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3814.859375;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;3823.953125;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;3836.593750;0.000000
p;1298;0.000000;0.000000;21.531250;0.000000;3854.437500;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;3875.968750;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;3895.703125;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;3904.796875;0.000000
p;1298;0.000000;0.000000;21.531250;0.000000;3921.562500;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;3943.093750;0.000000
c;415;0.000000;0.000000;16.796875;0.000000;3962.828125;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;3979.625000;0.000000
m;1118;0.000000;0.000000;32.718750;0.000000;3988.656250;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;4021.375000;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;4041.109375;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;4062.734375;0.000000
b;372;0.000000;0.000000;21.531250;0.000000;4071.828125;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;4093.359375;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;4114.531250;0.000000
k;866;0.000000;0.000000;18.687500;0.000000;4135.703125;0.000000
.;1322;0.000000;0.000000;9.375000;0.000000;4154.390625;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;4163.765625;0.000000
I;148;0.000000;0.000000;11.859375;0.000000;4172.859375;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;4184.718750;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;4197.359375;0.000000
h;764;0.000000;0.000000;21.625000;0.000000;4206.453125;0.000000
a;317;0.000000;0.000000;19.640625;0.000000;4228.078125;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;4247.718750;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;4264.484375;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;4273.578125;0.000000
u;1842;0.000000;0.000000;21.625000;0.000000;4290.343750;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;4311.968750;0.000000
v;2556;0.000000;0.000000;17.781250;0.000000;4326.421875;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;4344.203125;0.000000
v;2556;0.000000;0.000000;17.781250;0.000000;4353.234375;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;4371.015625;0.000000
d;475;0.000000;0.000000;21.531250;0.000000;4390.750000;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;4412.281250;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;4421.375000;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;4443.000000;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;4464.171875;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;4476.812500;0.000000
o;1274;0.000000;0.000000;21.171875;0.000000;4485.906250;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;4507.078125;0.000000
l;878;0.000000;0.000000;9.031250;0.000000;4528.703125;0.000000
y;2616;0.000000;0.000000;17.843750;0.000000;4537.734375;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;4555.578125;0.000000
f;684;0.000000;0.000000;12.046875;0.000000;4564.671875;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;4576.718750;0.000000
v;2556;0.000000;0.000000;17.781250;0.000000;4585.750000;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;4603.531250;0.000000
 ;1623;0.000000;0.000000;9.093750;0.000000;4623.265625;0.000000
c;415;0.000000;0.000000;16.796875;0.000000;4632.359375;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;4649.156250;0.000000
n;1187;0.000000;0.000000;21.625000;0.000000;4668.890625;0.000000
t;1739;0.000000;0.000000;12.640625;0.000000;4690.515625;0.000000
u;1842;0.000000;0.000000;21.625000;0.000000;4703.156250;0.000000
r;1393;0.000000;0.000000;14.453125;0.000000;4724.781250;0.000000
i;777;0.000000;0.000000;9.031250;0.000000;4739.234375;0.000000
e;611;0.000000;0.000000;19.734375;0.000000;4748.265625;0.000000
s;1553;0.000000;0.000000;16.765625;0.000000;4768.000000;0.000000
,;452;0.000000;0.000000;9.375000;0.000000;4784.765625;0.000000
